category,subcategory,source,content,token_length,revision_id,permanent_link,content_id
Social Impact of Technology,Online Services,Degree Online Services Telangana,"Degree Online Services Telangana known as DOST is a unified, online degree admission system for students in Telangana, India by Government of Telangana. The DOST online service, brings all government colleges, autonomous colleges, private and aided colleges under one system. Over 1.84 lakh students were allotted seats in various degree colleges in all state universities in May and July every year.

History
DOST was launched in 2016 to bring all degree college admission accessible to all students across the state by Telangana State Council of Higher Education (TSCHE).

Admission process
In order to get an admission for bachelor's degree in universities in Telangana, they are required to register on the DOST portal. The universities are Osmania University, Kakatiya University, Telangana University, Mahatma Gandhi University, Satavahana University and Palamuru University.
Aspiring students register their web options on the official website and opt for colleges. After the admission process begins, the students receive SMS when a seat is allotted in a degree college.
The student admission process was linked to biometric system in 2017-18. For the academic year 2018-19, it was linked with Aadhaar of students. There are 3 phases in the admitting the students.


== References ==",196,1294672583,https://en.wikipedia.org/w/index.php?title=Degree_Online_Services_Telangana&oldid=1294672583,60f92d43b7b1
Social Impact of Technology,Online Dating,Comparison of online dating services,"This is a partial, non-exhaustive list of notable online dating websites and mobile apps.

Online dating services
Defunct sites
SpeedDate.com
Yahoo! Personals
Spoonr
Spray Date
Tastebuds.fm
Travel Companion Exchange
True
Matchmaker.com (Dating service founded in 1986 which had 259,771 users)
Craigslist (personal ads were removed)
Find Your FaceMate

See also
Timeline of online dating services


== References ==",58,1289790194,https://en.wikipedia.org/w/index.php?title=Comparison_of_online_dating_services&oldid=1289790194,02cc50d8ca70
Social Impact of Technology,Stresses and Distraction Online,List of Teen Wolf (2011 TV series) secondary characters,"Teen Wolf is an American television series that airs on MTV. The series premiered on Sunday, June 5, 2011, following the 2011 MTV Movie Awards. Teen Wolf is a supernatural drama series that follows Scott McCall (Tyler Posey), a high school student and social outcast who is bitten by a werewolf. He tries to maintain a normal life while hiding his secret and dealing with supernatural dangers that plague the town of Beacon Hills. He is aided by his best friend, Stiles Stilinski (Dylan O'Brien), and mysterious werewolf, Derek Hale (Tyler Hoechlin).

Cast
Secondary characters
References
External links
Eonline.com",99,1256665317,https://en.wikipedia.org/w/index.php?title=List_of_Teen_Wolf_%282011_TV_series%29_secondary_characters&oldid=1256665317,f7d0c7fe25ea
Social Impact of Technology,Social Relations and Tech,Fortune Z. Charumbira,"Fortune Zephania Charumbira is a politician from Zimbabwe who is serving as President of Pan-African Parliament from 29 June 2022 and Zimbabwe Council of Chiefs from 2013. He also served as 4th Vice President of Pan-African Parliament and Deputy Minister of Ministry of Local Government and Public Works of Zimbabwe during 2000s.

See also
Pan-African Parliament


== References ==",59,1283276902,https://en.wikipedia.org/w/index.php?title=Fortune_Z._Charumbira&oldid=1283276902,ceaf7e2f49ba
Social Impact of Technology,Social Relations and Tech,List of social platforms with at least 100 million active users,"This is a list of social platforms with at least 100 million monthly active users. The list includes social networks, as well as online forums, photo and video sharing platforms, messaging and VoIP apps.

List
Integrated services
See also
List of most-visited websites
List of virtual communities with more than 1 million users
List of social networking services

Notes


== References ==",62,1293914852,https://en.wikipedia.org/w/index.php?title=List_of_social_platforms_with_at_least_100_million_active_users&oldid=1293914852,07137ac0688c
Education,Education and Gender,Gender and Education,"Gender and Education is a peer-reviewed journal, published eight times a year by Taylor and Francis with a focus on global perspectives on education, gender and culture.
The journal is aligned with the Gender and Education Association (GEA), and is co-edited by Carol Taylor (University of Cambridge), Susanne Gannon (Western Sydney University), Jayne Osgood (Middlesex University) and Kathryn Scantlebury (University of Delaware).

Abstracting and indexing
According to the Journal Citation Reports, the journal has a 2020 impact factor of 2.081, ranking it 152nd out of 254 journals in the category ""Education & Educational Research"".

References
External links
Official website",99,1279771384,https://en.wikipedia.org/w/index.php?title=Gender_and_Education&oldid=1279771384,e4347cf2836c
Education,Education and Gender,"Ministry of Education, Employment and Gender Affairs","The Ministry of Education, Employment and Gender Affairs is a ministry of the Cayman Islands. It is headquartered on the fifth floor of the Government Administration Building in George Town, Grand Cayman, Cayman Islands.
The Cayman Islands Department of Education Services (DES) operates public schools on the island. It is headquartered in a separate building in George Town.

References
External links
Ministry of Education, Employment and Gender Affairs
Cayman Islands Department of Education Services
DES school list",77,1280579378,https://en.wikipedia.org/w/index.php?title=Ministry_of_Education%2C_Employment_and_Gender_Affairs&oldid=1280579378,4b23cd47d545
Education,Education and Learning Online,Online learning,"Online learning may refer to study in home

Educational technology, or e-learning
E-learning (theory)
List of online educational resources
Distance education
Online school
Online learning in higher education
Online tutoring
Massive open online courses
Online machine learning, in computer science and statistics",42,1287419023,https://en.wikipedia.org/w/index.php?title=Online_learning&oldid=1287419023,3842c4dc8dbb
Education,Educational Attainment,Educational attainment,"Educational attainment is a term commonly used by statisticians to refer to the highest degree of education an individual has completed as defined by the US Census Bureau Glossary.

See also
Academic achievement
Academic degree
Bachelor's degree
Doctorate degree
Educational attainment in the United States
Master's degree


== References ==",50,1265529697,https://en.wikipedia.org/w/index.php?title=Educational_attainment&oldid=1265529697,8d003d162003
Education,Higher Education,Minister of Higher Education (South Africa),"The minister of higher education is the minister in the Cabinet of South Africa with responsibility for higher education in South Africa. The post was created as the minister of higher education and training in May 2009. It was called the minister of higher education, science and technology between May 2019 and June 2024.

History
Before 10 May 2009, higher education was the responsibility of the minister of education. On 10 May 2009, announcing his first cabinet, President Jacob Zuma bifurcated that portfolio, creating the new minister of higher education and training, alongside a minister of basic education.
When President Cyril Ramaphosa announced his second-term cabinet on 29 May 2019, he announced that the Ministry of Science and Technology would be absorbed by the higher education portfolio, creating the enlarged portfolio of the new minister of higher education, Science and Technology. However, Ramaphosa reversed the merger in his third cabinet, announced on 30 June 2024; henceforth there was an independent minister of science, technology and innovation, while the higher education portfolio was the provenance of the minister of higher education.

List of ministers with responsibility for higher education
References
External links
Ministry of Education
Department of Education",197,1263461131,https://en.wikipedia.org/w/index.php?title=Minister_of_Higher_Education_%28South_Africa%29&oldid=1263461131,6ab1f282b87e
Education,K-12,Orders of magnitude (temperature),"== List of orders of magnitude for temperature ==

Detailed list for 100 K to 1000 K
Most ordinary human activity takes place at temperatures of this order of magnitude. Circumstances where water naturally occurs in liquid form are shown in light grey.

SI multiples
References
External links
Online Temperature Conversion",51,1293704288,https://en.wikipedia.org/w/index.php?title=Orders_of_magnitude_%28temperature%29&oldid=1293704288,26c7f6363382
Education,Student Loans,Student loan deferment,"Student loan deferment is an agreement between the student and lender that the student may reduce or postpone repayment of a student loan for a designated period.  Deferment or forbearance will prevent the loan from going into default, but may increase the overall cost of the loan. Students may be eligible for deferment while experiencing financial hardship or unemployment. The lender may require valid proof of financial hardship and other financial information when the student applies.

See also
Forbearance


== References ==",82,1067585506,https://en.wikipedia.org/w/index.php?title=Student_loan_deferment&oldid=1067585506,9a77273e55c6
Family and Relationships,Divorce,Paper divorce,"A paper divorce is a case in which a couple obtains a legal divorce but continues to live together as before. It may be done for financial reasons, such as to isolate medical debts to only fall on the ill partner. If the divorce is fraudulent, it is called a sham divorce.


== References ==",55,1270434307,https://en.wikipedia.org/w/index.php?title=Paper_divorce&oldid=1270434307,342b72c7b0fc
Family and Relationships,Family and Relationships,Relationship,"Relationship most often refers to:

Family relations and relatives
consanguinity
Interpersonal relationship, a strong, deep, or close association or acquaintance between two or more people
Correlation and dependence, relationships in mathematics and statistics between two variables or sets of data
Semantic relationship, an ontology component
Romance (love), a connection between two people driven by love and/or sexual attraction
Relationship or Relationships may also refer to:

Arts and media
""Relationship"" (song), by Young Thug featuring Future
""Relationships"" (As Time Goes By), an episode of the British TV series As Time Goes By
The Relationship, an American rock band
The Relationship (album), their 2010 album
The Relationships, an English band who played at the 2009 Truck Festival
Relationships, a 1994 album by BeBe & CeCe Winans
Relationships, a 2001 album by Georgie Fame
""Relationship"", a song by Lakeside on the 1987 album Power
""Relationship"", a song by Mumzy Stranger from his 2008 mixtape

Other uses
Relationship (archaeology), the position in space of an object with respect to another

See also
Affinity (disambiguation)
All pages with titles containing relationship
Entity–relationship model
Relation (disambiguation)",180,1282507881,https://en.wikipedia.org/w/index.php?title=Relationship&oldid=1282507881,2b1909627d1f
Family and Relationships,Parenthood,Parenthood,"Parenthood may refer to:

Parenting, the process of being a parent
Parenthood (film) (1989)
Parenthood (1990 TV series)
Parenthood (2010 TV series)
Parenthood (television soundtrack)
""Parent Hood"", an episode of Robin Hood
The Parent 'Hood, a 1990s American TV sitcom
The Sims 4: Parenthood, a 2017 game pack for The Sims 4
""Parenthood"", a song by Reks from the 2012 album Straight, No Chaser
""Parenthood"" (rus. Родители) – russian comedy series 2015, 2019–2020, 2024 years.",75,1294281102,https://en.wikipedia.org/w/index.php?title=Parenthood&oldid=1294281102,14045f060707
Family and Relationships,Parenthood,Unplanned Parenthood,"Unplanned Parenthood may refer to:

""Unplanned Parenthood"" (House)
""Unplanned Parenthood"", a song by Busdriver from Temporary Forever
""Unplanned Parenthood"", a song by Farrah Abraham from My Teenage Dream Ended
""Unplanned Parenthood"", an episode from season 10 of Cheers
""Unplanned Parenthood"", a book by Liz Carpenter

See also
Unintended pregnancy",49,1166987599,https://en.wikipedia.org/w/index.php?title=Unplanned_Parenthood&oldid=1166987599,1dc8de4f65e2
Family and Relationships,Parenthood,List of Parenthood episodes,"Parenthood is an American comedy drama television series developed by Jason Katims and based upon the 1989 film of the same name produced by Brian Grazer and directed by Ron Howard, both of whom serve as executive producers along with Katims, David Nevins and Lawrence Trilling. The series premiered on March 2, 2010, on NBC. On May 11, 2014, NBC renewed Parenthood for a sixth and final season, which would consist of 13 episodes. On June 2, 2014, it was announced that the final season would premiere September 25, 2014. The series finale aired on January 29, 2015.
During the course of the series, 103 episodes of Parenthood aired over six seasons.

Series overview
Episodes
Season 1 (2010)
Season 2 (2010–11)
Season 3 (2011–12)
Season 4 (2012–13)
Season 5 (2013–14)
Season 6 (2014–15)
References
External links
Official website
Parenthood at IMDb",141,1279657954,https://en.wikipedia.org/w/index.php?title=List_of_Parenthood_episodes&oldid=1279657954,2de6e72a2059
Family and Relationships,Motherhood and Fatherhood,Fatherhood/Motherhood,"""Fatherhood/Motherhood"" is the debut single of progressive rock band Ox.Eagle.Lion.Man. It was released under Transgressive Records in December 2007, on digital download, Limited Edition 7"" and also on VHS, which was released with the music video on.
The band introduced themselves to the world officially, via their debut release on Transgressive records. A one-off 'concept single' produced by Gordon Raphael (Is This It, Room On Fire). They wanted their debut release to have as much scope as possible; and to comprise two tracks of equal importance, tied together by more than just the vinyl onto which they are pressed. Without an A or a B side, ""Fatherhood/Motherhood"" was the first complete piece of work that the band were happy to bequeath to the world, and was also accompanied by a two-party diptych videos, accompanying the release on VHS tape. [1]

Track listing
""Fatherhood"" - 5:01
""Motherhood"" - 3:24

Personnel
Arranged By - Ox.Eagle.Lion.Man
Bass - Thomas Günnzs
Drums, Artwork (Layout, Direction) - Edward Quarmby
Lyrics, Vocals - Frederick Blood-Royale
Photography - Sonia Melot
Producer, Mixed by - Gordon Raphael
(Music) Written by, Guitar - 'Jareth'
Video
Directed by
George Fafalios
Starring

Rachel Hurd-Wood
L.S.C. Oakeshott",195,1183123668,https://en.wikipedia.org/w/index.php?title=Fatherhood/Motherhood&oldid=1183123668,46be49c939d1
Family and Relationships,Motherhood and Fatherhood,Fatherhood bonus,"Fatherhood bonus or fatherhood premium refers to the advantages that working fathers get in terms of pay and perceived competence in comparison with working mothers and childless men. Fatherhood bonus occurs due to the belief that fathers have greater work commitment, stability and deservingness. On the other hand, mothers are perceived as exhausted and distracted at work, thereby perceiving them to be less productive. An alternative explanation for the fatherhood bonus is that men who are fathers strive harder at work in order to provide for their families (psychological transition upon fatherhood); the psychological transition for women upon motherhood can be explained as putting children as higher priority than work which would explain the motherhood penalty.  The fatherhood bonus is highest for married, white college graduates with professional jobs. Among Brits aged 42, fathers receive 21% wage bonus compared to non-fathers of the same age. This wage bonus has increased from 12% in 1958 to 21% in 2016.

See also
Motherhood penalty


== References ==",165,1191789724,https://en.wikipedia.org/w/index.php?title=Fatherhood_bonus&oldid=1191789724,58c2fbee9484
